step,folder_name,dataset,accuracy,correctness_reward_func,api_overseer_penalty_func
0,eval_code_selection_modified_0_20251106_081253,code_selection_modified,0.025,0.05,0.145
0,eval_revealing_score_modified_0_20251106_123920,revealing_score_modified,0.15,0.3,0.14
0,eval_sycophancy_fact_modified_0_20251106_151142,sycophancy_fact_modified,0.175,0.35,0.03
300,eval_code_selection_modified_300_20251106_082757,code_selection_modified,0.075,0.15,0.215
300,eval_revealing_score_modified_300_20251106_125047,revealing_score_modified,0.26,0.52,0.07
300,eval_sycophancy_fact_modified_300_20251106_152716,sycophancy_fact_modified,0.205,0.41,0.045
500,eval_code_selection_modified_500_20251106_084302,code_selection_modified,0.205,0.41,0.31
500,eval_revealing_score_modified_500_20251106_130138,revealing_score_modified,0.86,1.72,0.11
500,eval_sycophancy_fact_modified_500_20251106_153813,sycophancy_fact_modified,0.67,1.34,0.42
700,eval_sycophancy_fact_modified_700_20251106_154854,sycophancy_fact_modified,0.485,0.97,0.085
700,eval_revealing_score_modified_700_20251106_131150,revealing_score_modified,0.95,1.9,0.0
700,eval_code_selection_modified_700_20251106_085659,code_selection_modified,0.15,0.3,0.25
900,eval_sycophancy_fact_modified_900_20251106_150028,sycophancy_fact_modified,0.745,1.49,0.04
900,eval_revealing_score_modified_900_20251106_123252,revealing_score_modified,0.99,1.98,0.0
900,eval_code_selection_modified_900_20251106_073425,code_selection_modified,0.135,0.27,0.26
1100,eval_code_selection_modified_1100_20251106_101804,code_selection_modified,0.315,0.63,0.43
1100,eval_revealing_score_modified_1100_20251106_132418,revealing_score_modified,1.0,2.0,0.0
1100,eval_sycophancy_fact_modified_1100_20251106_155927,sycophancy_fact_modified,0.855,1.71,0.035
1300,eval_revealing_score_modified_1300_20251106_133401,revealing_score_modified,0.99,1.98,0.0
1300,eval_code_selection_modified_1300_20251106_095023,code_selection_modified,0.23,0.46,0.4
1300,eval_sycophancy_fact_modified_1300_20251106_161406,sycophancy_fact_modified,0.88,1.76,0.0
